"Step","With Off-Edge Reset - rollout/ep_rew_mean","With Off-Edge Reset - rollout/ep_rew_mean__MIN","With Off-Edge Reset - rollout/ep_rew_mean__MAX","Without Off-Edge Reset - rollout/ep_rew_mean","Without Off-Edge Reset - rollout/ep_rew_mean__MIN","Without Off-Edge Reset - rollout/ep_rew_mean__MAX"
"200","64.99742126464844","64.99742126464844","64.99742126464844","33.391456604003906","33.391456604003906","33.391456604003906"
"201","79.32324981689453","79.32324981689453","79.32324981689453","41.79766845703125","41.79766845703125","41.79766845703125"
"202","72.83406829833984","72.83406829833984","72.83406829833984","33.42695617675781","33.42695617675781","33.42695617675781"
"203","56.25617218017578","56.25617218017578","56.25617218017578","39.57149887084961","39.57149887084961","39.57149887084961"
"204","73.91360473632812","73.91360473632812","73.91360473632812","32.1052360534668","32.1052360534668","32.1052360534668"
"205","72.96635437011719","72.96635437011719","72.96635437011719","33.127742767333984","33.127742767333984","33.127742767333984"
"206","59.9344482421875","59.9344482421875","59.9344482421875","44.03132629394531","44.03132629394531","44.03132629394531"
"207","69.54402160644531","69.54402160644531","69.54402160644531","32.58835983276367","32.58835983276367","32.58835983276367"
"208","73.08018493652344","73.08018493652344","73.08018493652344","37.004512786865234","37.004512786865234","37.004512786865234"
"209","76.2455825805664","76.2455825805664","76.2455825805664","39.79840850830078","39.79840850830078","39.79840850830078"
"210","76.39392852783203","76.39392852783203","76.39392852783203","35.357818603515625","35.357818603515625","35.357818603515625"
"211","72.54136657714844","72.54136657714844","72.54136657714844","40.53921127319336","40.53921127319336","40.53921127319336"
"212","80.77446746826172","80.77446746826172","80.77446746826172","34.69912338256836","34.69912338256836","34.69912338256836"
"213","82.66280364990234","82.66280364990234","82.66280364990234","45.70507049560547","45.70507049560547","45.70507049560547"
"214","88.20966339111328","88.20966339111328","88.20966339111328","37.11564636230469","37.11564636230469","37.11564636230469"
"215","60.96991729736328","60.96991729736328","60.96991729736328","47.613929748535156","47.613929748535156","47.613929748535156"
"216","74.26871490478516","74.26871490478516","74.26871490478516","47.30030822753906","47.30030822753906","47.30030822753906"
"217","78.72747039794922","78.72747039794922","78.72747039794922","48.70100021362305","48.70100021362305","48.70100021362305"
"218","88.00768280029297","88.00768280029297","88.00768280029297","46.63920211791992","46.63920211791992","46.63920211791992"
"219","84.49464416503906","84.49464416503906","84.49464416503906","45.8863639831543","45.8863639831543","45.8863639831543"
"220","80.26314544677734","80.26314544677734","80.26314544677734","39.52883529663086","39.52883529663086","39.52883529663086"
"221","73.69236755371094","73.69236755371094","73.69236755371094","41.721763610839844","41.721763610839844","41.721763610839844"
"222","82.5683364868164","82.5683364868164","82.5683364868164","34.516727447509766","34.516727447509766","34.516727447509766"
"223","75.90097045898438","75.90097045898438","75.90097045898438","31.27088737487793","31.27088737487793","31.27088737487793"
"224","74.42744445800781","74.42744445800781","74.42744445800781","41.12864685058594","41.12864685058594","41.12864685058594"
"225","84.19841766357422","84.19841766357422","84.19841766357422","35.06300735473633","35.06300735473633","35.06300735473633"
"226","77.86602020263672","77.86602020263672","77.86602020263672","37.503173828125","37.503173828125","37.503173828125"
"227","82.85945129394531","82.85945129394531","82.85945129394531","39.91031265258789","39.91031265258789","39.91031265258789"
"228","68.12229919433594","68.12229919433594","68.12229919433594","41.182342529296875","41.182342529296875","41.182342529296875"
"229","74.75275421142578","74.75275421142578","74.75275421142578","45.59567642211914","45.59567642211914","45.59567642211914"
"230","77.20850372314453","77.20850372314453","77.20850372314453","42.298370361328125","42.298370361328125","42.298370361328125"
"231","88.2143783569336","88.2143783569336","88.2143783569336","39.717735290527344","39.717735290527344","39.717735290527344"
"232","68.89582824707031","68.89582824707031","68.89582824707031","43.6356315612793","43.6356315612793","43.6356315612793"
"233","82.55367279052734","82.55367279052734","82.55367279052734","33.782962799072266","33.782962799072266","33.782962799072266"
"234","67.53263854980469","67.53263854980469","67.53263854980469","43.335205078125","43.335205078125","43.335205078125"
"235","67.92703247070312","67.92703247070312","67.92703247070312","38.548988342285156","38.548988342285156","38.548988342285156"
"236","60.09977340698242","60.09977340698242","60.09977340698242","41.05530548095703","41.05530548095703","41.05530548095703"
"237","63.29708480834961","63.29708480834961","63.29708480834961","30.842622756958008","30.842622756958008","30.842622756958008"
"238","70.80717468261719","70.80717468261719","70.80717468261719","43.702857971191406","43.702857971191406","43.702857971191406"
"239","70.96526336669922","70.96526336669922","70.96526336669922","35.044227600097656","35.044227600097656","35.044227600097656"
"240","73.8011474609375","73.8011474609375","73.8011474609375","45.1309928894043","45.1309928894043","45.1309928894043"
"241","64.80204772949219","64.80204772949219","64.80204772949219","46.14908218383789","46.14908218383789","46.14908218383789"
"242","82.52597045898438","82.52597045898438","82.52597045898438","38.985084533691406","38.985084533691406","38.985084533691406"
"243","71.8765869140625","71.8765869140625","71.8765869140625","37.968666076660156","37.968666076660156","37.968666076660156"
"244","76.5331039428711","76.5331039428711","76.5331039428711","38.39237976074219","38.39237976074219","38.39237976074219"
"245","54.43376541137695","54.43376541137695","54.43376541137695","41.837684631347656","41.837684631347656","41.837684631347656"
"246","79.68429565429688","79.68429565429688","79.68429565429688","32.93223571777344","32.93223571777344","32.93223571777344"
"247","60.97052001953125","60.97052001953125","60.97052001953125","39.718772888183594","39.718772888183594","39.718772888183594"
"248","67.58019256591797","67.58019256591797","67.58019256591797","34.55141830444336","34.55141830444336","34.55141830444336"
"249","74.52094268798828","74.52094268798828","74.52094268798828","42.817142486572266","42.817142486572266","42.817142486572266"
"250","76.4604263305664","76.4604263305664","76.4604263305664","38.810550689697266","38.810550689697266","38.810550689697266"
"251","78.61334991455078","78.61334991455078","78.61334991455078","44.503929138183594","44.503929138183594","44.503929138183594"
"252","57.5469856262207","57.5469856262207","57.5469856262207","35.55615997314453","35.55615997314453","35.55615997314453"
"253","76.35768127441406","76.35768127441406","76.35768127441406","50.40258026123047","50.40258026123047","50.40258026123047"
"254","72.69638061523438","72.69638061523438","72.69638061523438","45.46843719482422","45.46843719482422","45.46843719482422"
"255","65.9527816772461","65.9527816772461","65.9527816772461","35.484317779541016","35.484317779541016","35.484317779541016"
